('inline', 'tex', 'tex')
('finite', 'element', 'analysis')
('software', 'process', 'improvement')
('wireless', 'mesh', 'network')
('digital', 'signal', 'processing')
('multiple', 'access', 'channel')
('flexible', 'manufacturing', 'system')
('small', 'cell', 'network')
('image', 'quality', 'assessment')
('protocol', 'wireless', 'sensor')
('local', 'area', 'network')
('business', 'process', 'management')
('model', 'predictive', 'control')
('swarm', 'optimization', 'algorithm')
('routing', 'protocol', 'wireless')
('deep', 'neural', 'network')
('discrete', 'event', 'system')
('semantic', 'web', 'service')
('intrusion', 'detection', 'system')
('time', 'series', 'data')
('high', 'performance', 'computing')
('uncertain', 'nonlinear', 'system')
('cloud', 'computing', 'environment')
('wireless', 'ad_hoc', 'network')
('channel', 'state', 'information')
('cognitive', 'radio', 'system')
('routing', 'protocol', 'mobile')
('decision', 'support', 'system')
('heterogeneous', 'cellular', 'network')
('mobile', 'cloud', 'computing')
('basis', 'function', 'network')
('radio', 'access', 'network')
('routing', 'wireless', 'sensor')
('network', 'intrusion', 'detection')
('geographic', 'information', 'system')
('networked', 'control', 'system')
('online', 'social', 'network')
('body', 'sensor', 'network')
('machine', 'translation', 'system')
('iterative', 'learning', 'control')
('hybrid', 'genetic', 'algorithm')
('user', 'interface', 'design')
('scheme', 'wireless', 'sensor')
('information', 'communication', 'technology')
('machine', 'learning', 'technique')
('class', 'nonlinear', 'system')
('business', 'process', 'model')
('based', 'support', 'vector')
('cellular', 'neural', 'network')
('optimal', 'control', 'problem')
('heterogeneous', 'wireless', 'network')
('fuzzy', 'inference', 'system')
('neural', 'network', 'delay')
('data', 'mining', 'technique')
('ad_hoc', 'wireless', 'network')
('estimation', 'distribution', 'algorithm')
('data', 'center', 'network')
('fuzzy', 'neural', 'network')
('machine', 'learning', 'approach')
('algorithm', 'wireless', 'sensor')
('based', 'genetic', 'algorithm')
('speech', 'recognition', 'system')
('database', 'management', 'system')
('function', 'neural', 'network')
('genetic', 'algorithm', 'based')
('based', 'image', 'retrieval')
('access', 'control', 'model')
('information', 'retrieval', 'system')
('control', 'nonlinear', 'system')
('network', 'genetic', 'algorithm')
('knowledge', 'management', 'system')
('mobile', 'sensor', 'network')
('system', 'case', 'study')
('neural', 'network', 'based')
('wireless', 'communication', 'system')
('neural', 'network', 'model')
('distributed', 'computing', 'system')
('information', 'system', 'development')
('neural', 'network', 'approach')
('social', 'network', 'analysis')
('based', 'neural', 'network')
('sensor', 'network', 'application')
('sensor', 'network', 'based')
('system', 'neural', 'network')
('control', 'system', 'based')
